Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Brand_Encoded
90.0,1.0,4,2000.0,5.0,15
60.0,4.0,4,2100.0,2.0,15
80.0,1.0,8,1500.0,5.0,15
120.0,1.0,8,2000.0,8.0,15
300.0,2.0,32,2300.0,16.0,15
90.0,4.0,4,1750.0,5.0,15
170.0,1.0,8,2000.0,8.0,15
140.0,1.0,8,2350.0,8.0,15
70.0,4.0,4,2000.0,2.0,15
70.0,1.0,8,1500.0,5.0,15
170.0,2.0,8,2500.0,13.0,15
80.0,1.0,4,1700.0,5.0,15
150.0,1.0,8,2000.0,8.0,15
110.0,1.0,8,1950.0,5.0,15
80.0,1.0,4,1900.0,5.0,15
150.0,1.0,8,3000.0,8.0,15
240.0,2.0,16,2300.0,13.0,15
90.0,1.0,8,3200.0,5.0,15
150.0,1.0,8,4400.0,5.0,15
100.0,1.0,8,2000.0,8.0,15
60.0,4.0,4,1300.0,2.0,15
90.0,1.0,8,1700.0,5.0,15
80.0,4.0,4,1800.0,5.0,15
60.0,4.0,4,1450.0,2.0,15
130.0,2.0,8,3000.0,8.0,15
80.0,2.0,16,2600.0,13.0,31
550.0,6.0,128,4000.0,48.0,31
