Brand,Price_Clean,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP
Asus,110.0,1.0,8,4270.0,1.0
Asus,1000.0,2.0,32,2400.0,13.0
Asus,260.0,1.0,8,4270.0,15.0
Asus,350.0,2.0,16,3200.0,8.0
Asus,230.0,2.0,16,3950.0,5.0
Asus,220.0,1.0,8,3950.0,5.0
Asus,150.0,1.0,16,3950.0,5.0
Asus,250.0,1.0,8,5070.0,2.0
Asus,730.0,2.0,16,2400.0,13.0
Doogee,170.0,6.0,64,5180.0,16.0
Doogee,150.0,4.0,128,4500.0,16.0
Doogee,280.0,8.0,128,6350.0,48.0
Doogee,120.0,4.0,32,4350.0,13.0
Doogee,280.0,8.0,128,10000.0,48.0
Doogee,210.0,6.0,128,8500.0,16.0
Doogee,210.0,4.0,128,10050.0,16.0
Tecno,6700.0,2.0,32,3050.0,13.0
Tecno,150.0,2.0,32,3500.0,13.0
Tecno,7600.0,3.0,32,3050.0,13.0
Tecno,15000.0,6.0,128,3500.0,16.0
Tecno,10000.0,6.0,64,3500.0,16.0
Tecno,130.0,4.0,64,5000.0,48.0
Tecno,220.0,6.0,128,4000.0,48.0
Tecno,150.0,2.0,32,5000.0,13.0
Tecno,120.0,3.0,64,5000.0,16.0
Tecno,120.0,4.0,64,6000.0,16.0
Tecno,80.0,2.0,32,5000.0,5.0
Tecno,230.0,8.0,128,4500.0,64.0
Tecno,110.0,4.0,64,5000.0,16.0
Tecno,90.0,2.0,32,6000.0,13.0
Tecno,130.0,4.0,64,5000.0,64.0
Tecno,110.0,4.0,64,6000.0,13.0
Tecno,80.0,2.0,32,5000.0,13.0
Tecno,70.0,2.0,32,5000.0,13.0
Tecno,130.0,4.0,128,5000.0,48.0
Infinix,90.0,3.0,32,4500.0,12.0
Infinix,100.0,1.0,16,4000.0,13.0
Infinix,130.0,2.0,32,4000.0,13.0
Infinix,7000.0,2.0,32,3500.0,13.0
Infinix,180.0,4.0,64,4000.0,16.0
Infinix,7000.0,2.0,32,5000.0,13.0
Infinix,120.0,4.0,64,4000.0,16.0
Infinix,100.0,3.0,32,4000.0,16.0
Infinix,120.0,4.0,64,4000.0,48.0
Infinix,90.0,2.0,32,5000.0,13.0
Infinix,50.0,4.0,64,5000.0,48.0
Infinix,130.0,4.0,64,5000.0,48.0
Infinix,100.0,2.0,32,6000.0,13.0
Infinix,70.0,2.0,32,5000.0,13.0
Infinix,210.0,8.0,128,4500.0,64.0
Micromax,90.0,1.0,4,3000.0,5.0
Micromax,150.0,1.0,4,2000.0,8.0
Micromax,170.0,1.0,4,2450.0,8.0
Micromax,100.0,,4,1800.0,5.0
Micromax,170.0,1.0,4,1800.0,8.0
Micromax,240.0,2.0,32,2350.0,16.0
Micromax,190.0,1.0,4,1900.0,8.0
Micromax,100.0,1.0,8,2500.0,5.0
Micromax,110.0,1.0,4,2000.0,8.0
Micromax,120.0,1.0,4,2000.0,8.0
Micromax,90.0,,4,1900.0,5.0
Micromax,90.0,1.0,4,2000.0,5.0
Micromax,60.0,,4,2100.0,2.0
Micromax,80.0,1.0,8,1500.0,5.0
Micromax,120.0,1.0,8,2000.0,8.0
Micromax,300.0,2.0,32,2300.0,16.0
Micromax,90.0,,4,1750.0,5.0
Micromax,170.0,1.0,8,2000.0,8.0
Micromax,140.0,1.0,8,2350.0,8.0
Micromax,70.0,,4,2000.0,2.0
Micromax,70.0,1.0,8,1500.0,5.0
Micromax,170.0,2.0,8,2500.0,13.0
Micromax,80.0,1.0,4,1700.0,5.0
Micromax,150.0,1.0,8,2000.0,8.0
Micromax,110.0,1.0,8,1950.0,5.0
Micromax,80.0,1.0,4,1900.0,5.0
Micromax,150.0,1.0,8,3000.0,8.0
Micromax,240.0,2.0,16,2300.0,13.0
Micromax,90.0,1.0,8,3200.0,5.0
Micromax,150.0,1.0,8,4400.0,5.0
Micromax,100.0,1.0,8,2000.0,8.0
Micromax,60.0,,4,1300.0,2.0
Micromax,90.0,1.0,8,1700.0,5.0
Micromax,80.0,,4,1800.0,5.0
Micromax,60.0,,4,1450.0,2.0
Micromax,130.0,2.0,8,3000.0,8.0
ZTE,80.0,2.0,16,2600.0,13.0
ZTE,550.0,6.0,128,4000.0,48.0
ZTE,820.0,8.0,128,5000.0,48.0
ZTE,130.0,4.0,128,5000.0,16.0
ZTE,50.0,2.0,16,2050.0,5.0
ZTE,160.0,3.0,64,3200.0,16.0
ZTE,90.0,3.0,32,3200.0,16.0
ZTE,90.0,3.0,32,4000.0,16.0
ZTE,60.0,1.0,8,1600.0,2.0
ZTE,880.0,8.0,128,4500.0,64.0
ZTE,490.0,6.0,128,4000.0,64.0
ZTE,280.0,6.0,128,4000.0,48.0
ZTE,310.0,6.0,128,5100.0,48.0
ZTE,50.0,2.0,32,2660.0,8.0
ZTE,50.0,2.0,32,2650.0,8.0
ZTE,250.0,6.0,128,4000.0,48.0
ZTE,600.0,8.0,256,5100.0,48.0
ZTE,20.0,2.0,32,2660.0,8.0
ZTE,540.0,8.0,128,4500.0,64.0
ZTE,140.0,2.0,32,2650.0,8.0
ZTE,80.0,1.0,16,2000.0,5.0
ZTE,370.0,6.0,128,4220.0,64.0
ZTE,720.0,6.0,128,4220.0,64.0
ZTE,440.0,12.0,256,4220.0,64.0
ZTE,120.0,2.0,32,3200.0,13.0
ZTE,50.0,2.0,32,2660.0,8.0
ZTE,220.0,6.0,128,4000.0,16.0
ZTE,120.0,3.0,64,4000.0,16.0
ZTE,180.0,6.0,128,4000.0,48.0
ZTE,70.0,1.0,8,1600.0,2.0
ZTE,350.0,8.0,128,4000.0,64.0
ZTE,320.0,6.0,128,4000.0,48.0
ZTE,40.0,1.0,8,1600.0,2.0
ZTE,520.0,8.0,128,5050.0,64.0
ZTE,960.0,12.0,128,5050.0,64.0
ZTE,220.0,6.0,128,6000.0,48.0
ZTE,290.0,8.0,128,4000.0,64.0
ZTE,390.0,8.0,256,4200.0,64.0
ZTE,400.0,6.0,128,4200.0,64.0
ZTE,550.0,8.0,128,4600.0,64.0
alcatel,160.0,1.0,4,3240.0,2.0
alcatel,140.0,1.0,4,2500.0,8.0
alcatel,290.0,2.0,16,2500.0,1.0
alcatel,90.0,,4,1000.0,2.0
alcatel,160.0,1.0,4,1700.0,8.0
alcatel,200.0,1.0,4,2000.0,8.0
alcatel,200.0,1.0,8,2000.0,8.0
alcatel,280.0,1.0,8,2150.0,8.0
alcatel,70.0,,4,1700.0,5.0
alcatel,120.0,1.0,4,2000.0,5.0
alcatel,140.0,1.0,4,3000.0,5.0
alcatel,280.0,1.0,8,3400.0,8.0
alcatel,190.0,1.0,4,3240.0,3.0
alcatel,40.0,,4,1300.0,15.0
alcatel,100.0,,4,1800.0,5.0
alcatel,80.0,,4,1300.0,2.0
alcatel,460.0,2.0,16,3100.0,1.0
alcatel,280.0,2.0,8,4060.0,5.0
