Brand,RAM_GB,Storage_GB,Battery_mAh,Main_Camera_MP,Price_Clean,Storage_Category
BLU,1.0,16.0,1800.0,8.0,260.0,1
BLU,1.0,4.0,1800.0,5.0,180.0,1
BLU,1.0,4.0,1600.0,8.0,210.0,1
BLU,1.0,4.0,6000.0,2.0,180.0,1
BQ,4.0,128.0,3100.0,12.0,370.0,3
BQ,3.0,32.0,3100.0,16.0,290.0,1
BQ,2.0,16.0,3080.0,8.0,160.0,1
BQ,2.0,16.0,3080.0,13.0,190.0,1
BQ,2.0,16.0,3050.0,16.0,220.0,1
BQ,2.0,16.0,3200.0,16.0,300.0,1
BQ,2.0,16.0,2850.0,13.0,210.0,1
BQ,2.0,16.0,2900.0,13.0,230.0,1
BQ,3.0,16.0,3120.0,13.0,260.0,1
BQ,3.0,16.0,3620.0,13.0,300.0,1
BQ,1.0,8.0,2470.0,8.0,180.0,1
Casio,1.0,16.0,1800.0,8.0,270.0,1
Cat,3.0,32.0,3800.0,13.0,650.0,1
Cat,1.0,8.0,3000.0,5.0,340.0,1
Cat,1.0,16.0,3000.0,8.0,440.0,1
Cat,1.0,4.0,2000.0,5.0,320.0,1
Cat,2.0,8.0,2630.0,8.0,460.0,1
Celkon,1.0,4.0,1400.0,5.0,80.0,1
Celkon,2.0,16.0,2500.0,8.0,120.0,1
Celkon,1.0,8.0,2000.0,5.0,90.0,1
Celkon,1.0,16.0,2000.0,8.0,100.0,1
Celkon,1.0,4.0,2100.0,12.0,200.0,1
Coolpad,3.0,16.0,2500.0,13.0,120.0,1
Coolpad,4.0,32.0,4060.0,13.0,200.0,1
Coolpad,3.0,16.0,2500.0,13.0,210.0,1
Coolpad,4.0,64.0,4070.0,16.0,420.0,2
Coolpad,2.0,16.0,3050.0,8.0,110.0,1
Coolpad,4.0,64.0,4010.0,13.0,180.0,2
Coolpad,2.0,16.0,2500.0,8.0,180.0,1
Coolpad,3.0,16.0,2500.0,8.0,80.0,1
Coolpad,3.0,16.0,2500.0,13.0,200.0,1
Coolpad,3.0,16.0,3000.0,13.0,120.0,1
Coolpad,4.0,64.0,2800.0,13.0,380.0,2
Coolpad,1.0,8.0,2000.0,8.0,130.0,1
Coolpad,2.0,16.0,1800.0,8.0,180.0,1
Coolpad,3.0,16.0,2500.0,13.0,110.0,1
Coolpad,3.0,16.0,3000.0,13.0,120.0,1
Coolpad,2.0,8.0,2500.0,13.0,200.0,1
Coolpad,1.0,8.0,2500.0,8.0,160.0,1
Coolpad,1.0,8.0,1800.0,8.0,150.0,1
Dell,2.0,32.0,7000.0,8.0,460.0,1
Dell,2.0,32.0,4100.0,5.0,130.0,1
Dell,2.0,16.0,4100.0,15.0,100.0,1
Dell,1.0,8.0,1520.0,8.0,450.0,1
Gigabyte,1.0,8.0,2000.0,8.0,100.0,1
Gigabyte,1.0,8.0,2000.0,13.0,190.0,1
Gigabyte,2.0,32.0,2500.0,13.0,440.0,1
Gigabyte,1.0,4.0,1400.0,5.0,140.0,1
Gigabyte,1.0,4.0,2000.0,5.0,150.0,1
Gigabyte,1.0,4.0,1700.0,8.0,200.0,1
Gigabyte,1.0,4.0,2000.0,13.0,220.0,1
Gigabyte,1.0,4.0,1900.0,13.0,260.0,1
Gigabyte,1.0,4.0,1700.0,8.0,220.0,1
Gionee,4.0,64.0,3450.0,16.0,380.0,2
Gionee,4.0,64.0,3700.0,13.0,240.0,2
Gionee,4.0,32.0,3100.0,13.0,200.0,1
Gionee,6.0,256.0,6020.0,12.0,460.0,4
Gionee,4.0,64.0,4550.0,13.0,370.0,2
Gionee,4.0,64.0,4010.0,13.0,280.0,2
Gionee,4.0,32.0,4000.0,13.0,250.0,1
Gionee,6.0,128.0,7000.0,12.0,1150.0,3
Gionee,3.0,32.0,4000.0,8.0,210.0,1
Gionee,2.0,16.0,2300.0,8.0,140.0,1
Gionee,4.0,64.0,3000.0,13.0,370.0,2
Gionee,3.0,32.0,3100.0,13.0,190.0,1
Gionee,3.0,32.0,3150.0,13.0,280.0,1
Gionee,4.0,64.0,3130.0,13.0,390.0,2
Gionee,1.0,8.0,1800.0,5.0,90.0,1
Gionee,4.0,64.0,2530.0,16.0,550.0,2
Gionee,4.0,64.0,3000.0,16.0,450.0,2
Gionee,2.0,16.0,4000.0,8.0,120.0,1
Gionee,3.0,16.0,5000.0,8.0,340.0,1
Gionee,3.0,64.0,5020.0,13.0,420.0,2
Gionee,3.0,32.0,4000.0,8.0,170.0,1
Gionee,1.0,16.0,2000.0,5.0,90.0,1
Gionee,3.0,32.0,3150.0,13.0,290.0,1
Gionee,2.0,16.0,2400.0,8.0,130.0,1
Gionee,3.0,64.0,3500.0,24.0,480.0,2
Gionee,2.0,16.0,5000.0,8.0,220.0,1
Gionee,3.0,32.0,6020.0,13.0,330.0,1
Gionee,1.0,8.0,1800.0,5.0,120.0,1
Gionee,2.0,16.0,2700.0,13.0,400.0,1
Gionee,1.0,8.0,5000.0,8.0,170.0,1
Gionee,1.0,16.0,2050.0,8.0,240.0,1
Gionee,1.0,8.0,1950.0,5.0,120.0,1
Gionee,1.0,8.0,1800.0,5.0,100.0,1
Gionee,1.0,8.0,1800.0,8.0,160.0,1
Gionee,2.0,16.0,2300.0,13.0,270.0,1
Gionee,2.0,16.0,2500.0,16.0,340.0,1
Gionee,2.0,32.0,2000.0,13.0,250.0,1
Gionee,1.0,16.0,2000.0,8.0,200.0,1
Gionee,1.0,16.0,1800.0,8.0,180.0,1
Gionee,1.0,4.0,4200.0,8.0,130.0,1
Gionee,1.0,16.0,3200.0,13.0,220.0,1
Gionee,1.0,4.0,3000.0,8.0,160.0,1
Gionee,1.0,4.0,2100.0,8.0,170.0,1
Google,4.0,128.0,3450.0,3.0,880.0,3
Google,4.0,128.0,2770.0,3.0,770.0,3
HP,4.0,64.0,4150.0,16.0,700.0,2
